SN,Volatge,Current,mAH
0,2.954,0,0
0.5,3.182,311,0
1.0,3.182,311,0
1.5,3.387,312,0
2.0,3.387,312,0
2.5,3.371,311,0
3.0,3.371,311,0
3.5,3.362,312,0
4.0,3.362,312,0
4.5,3.355,312,0
5.0,3.349,311,0
5.5,3.349,311,0
6.0,3.344,312,0
6.5,3.344,312,0
7.0,3.34,312,0
7.5,3.34,312,0
8.0,3.335,293,0
8.5,3.335,293,0
9.0,3.332,293,0
9.5,3.332,293,0
10.0,3.328,293,0
10.5,3.325,293,1
11.0,3.325,293,1
11.5,3.322,293,1
12.0,3.322,293,1
12.5,3.319,293,1
13.0,3.319,293,1
13.5,3.317,293,1
14.0,3.317,293,1
14.5,3.314,293,1
15.0,3.313,295,1
15.5,3.313,295,1
16.0,3.311,293,1
16.5,3.311,293,1
17.0,3.309,293,1
17.5,3.309,293,1
18.0,3.307,295,1
18.5,3.307,295,1
19.0,3.306,293,1
19.5,3.306,293,1
20.0,3.303,293,1
20.5,3.302,293,1
21.0,3.302,293,1
21.5,3.301,293,1
22.0,3.301,293,1
22.5,3.299,293,2
23.0,3.299,293,2
23.5,3.297,312,2
24.0,3.297,312,2
24.5,3.296,312,2
25.0,3.296,312,2
25.5,3.295,312,2
26.0,3.294,311,2
26.5,3.294,311,2
27.0,3.292,312,2
27.5,3.292,312,2
28.0,3.291,312,2
28.5,3.291,312,2
29.0,3.29,312,2
29.5,3.29,312,2
30.0,3.288,311,2
30.5,3.288,312,2
31.0,3.288,312,2
31.5,3.286,312,2
32.0,3.286,312,2
32.5,3.285,311,3
33.0,3.285,311,3
33.5,3.283,311,3
34.0,3.283,311,3
34.5,3.282,311,3
35.0,3.282,311,3
35.5,3.281,312,3
36.0,3.28,312,3
36.5,3.28,312,3
37.0,3.279,312,3
37.5,3.279,312,3
38.0,3.278,312,3
38.5,3.278,312,3
39.0,3.277,311,3
39.5,3.277,311,3
40.0,3.276,293,3
40.5,3.276,293,3
41.0,3.275,293,3
41.5,3.274,293,3
42.0,3.274,293,3
42.5,3.273,293,3
43.0,3.273,293,3
43.5,3.272,293,4
44.0,3.272,293,4
44.5,3.271,293,4
45.0,3.271,293,4
45.5,3.27,293,4
46.0,3.27,293,4
46.5,3.27,293,4
47.0,3.269,293,4
47.5,3.269,293,4
48.0,3.268,293,4
48.5,3.268,293,4
49.0,3.267,293,4
49.5,3.267,293,4
50.0,3.266,293,4
50.5,3.265,293,4
51.0,3.265,293,4
51.5,3.264,293,4
52.0,3.264,293,4
52.5,3.264,293,4
53.0,3.264,293,4
53.5,3.263,293,4
54.0,3.263,293,4
54.5,3.262,291,5
55.0,3.262,291,5
55.5,3.261,311,5
56.0,3.26,312,5
56.5,3.26,312,5
57.0,3.259,311,5
57.5,3.259,311,5
58.0,3.259,311,5
58.5,3.259,311,5
59.0,3.258,312,5
59.5,3.258,312,5
60.0,3.258,312,5
60.5,3.257,311,5
61.0,3.257,311,5
61.5,3.256,311,5
62.0,3.256,311,5
62.5,3.256,311,5
63.0,3.256,311,5
63.5,3.255,311,5
64.0,3.255,311,5
64.5,3.254,312,5
65.0,3.254,311,6
65.5,3.254,311,6
66.0,3.253,311,6
66.5,3.253,311,6
67.0,3.252,312,6
67.5,3.252,312,6
68.0,3.252,311,6
68.5,3.252,311,6
69.0,3.251,311,6
69.5,3.251,311,6
70.0,3.251,311,6
70.5,3.25,311,6
71.0,3.25,311,6
71.5,3.25,293,6
72.0,3.25,293,6
72.5,3.249,293,6
73.0,3.249,293,6
73.5,3.249,293,6
74.0,3.249,293,6
74.5,3.248,293,6
75.0,3.247,295,6
75.5,3.247,295,6
76.0,3.247,293,7
76.5,3.247,293,7
77.0,3.246,293,7
77.5,3.246,293,7
78.0,3.246,293,7
78.5,3.246,293,7
79.0,3.245,293,7
79.5,3.244,293,7
80.0,3.244,293,7
80.5,3.244,293,7
81.0,3.244,293,7
81.5,3.244,293,7
82.0,3.244,293,7
82.5,3.243,293,7
83.0,3.243,293,7
83.5,3.243,291,7
84.0,3.242,293,7
84.5,3.242,293,7
85.0,3.242,293,7
85.5,3.242,293,7
86.0,3.241,293,7
86.5,3.241,293,7
87.0,3.241,311,8
87.5,3.241,311,8
88.0,3.24,312,8
88.5,3.24,312,8
89.0,3.239,312,8
89.5,3.239,312,8
90.0,3.239,312,8
90.5,3.238,312,8
91.0,3.238,312,8
91.5,3.238,312,8
92.0,3.238,312,8
92.5,3.238,311,8
93.0,3.238,311,8
93.5,3.237,311,8
94.0,3.237,311,8
94.5,3.237,311,8
95.0,3.237,312,8
95.5,3.237,312,8
96.0,3.237,311,8
96.5,3.237,311,8
97.0,3.236,311,9
97.5,3.236,311,9
98.0,3.236,311,9
98.5,3.236,311,9
99.0,3.236,311,9
99.5,3.235,311,9
100.0,3.235,311,9
100.5,3.235,311,9
101.0,3.234,312,9
101.5,3.234,312,9
102.0,3.234,293,9
102.5,3.234,293,9
103.0,3.234,293,9
103.5,3.234,293,9
104.0,3.233,293,9
104.5,3.233,293,9
105.0,3.233,293,9
105.5,3.233,293,9
106.0,3.233,293,9
106.5,3.233,293,10
107.0,3.233,293,10
107.5,3.232,293,10
108.0,3.232,293,10
108.5,3.232,293,10
109.0,3.232,293,10
109.5,3.232,293,10
110.0,3.232,293,10
110.5,3.232,293,10
111.0,3.231,293,10
111.5,3.231,293,10
112.0,3.231,293,10
112.5,3.231,293,10
113.0,3.231,293,10
113.5,3.231,293,10
114.0,3.231,293,10
114.5,3.231,293,10
115.0,3.23,293,10
115.5,3.23,293,10
116.0,3.23,293,10
116.5,3.23,293,10
117.0,3.23,293,10
117.5,3.23,293,10
118.0,3.23,293,10
118.5,3.229,311,11
119.0,3.229,311,11
119.5,3.229,312,11
120.0,3.229,312,11
120.5,3.229,312,11
121.0,3.229,311,11
121.5,3.229,311,11
122.0,3.228,311,11
122.5,3.228,311,11
123.0,3.228,312,11
123.5,3.228,312,11
124.0,3.228,312,11
124.5,3.228,312,11
125.0,3.228,312,11
125.5,3.228,311,11
126.0,3.228,311,11
126.5,3.227,312,11
127.0,3.227,312,11
127.5,3.227,312,11
128.0,3.226,312,12
128.5,3.226,312,12
129.0,3.226,312,12
129.5,3.226,312,12
130.0,3.226,312,12
130.5,3.226,312,12
131.0,3.226,312,12
131.5,3.226,312,12
132.0,3.226,311,12
132.5,3.226,311,12
133.0,3.226,311,12
133.5,3.225,293,12
134.0,3.225,293,12
134.5,3.225,293,12
135.0,3.225,293,12
