SN,Volatge,Current,mAH
0,2.808,0,0
0.5,2.949,0,0
1.0,2.949,0,0
1.5,3.301,525,0
2.0,3.364,686,0
2.5,3.364,686,0
3.0,3.377,686,0
3.5,3.377,686,0
4.0,3.379,686,0
4.5,3.379,686,0
5.0,3.381,686,0
5.5,3.381,686,0
6.0,3.383,695,1
6.5,3.383,695,1
7.0,3.385,686,1
7.5,3.386,683,1
8.0,3.386,683,1
8.5,3.387,686,1
9.0,3.387,686,1
9.5,3.389,686,1
10.0,3.389,686,1
10.5,3.389,686,2
11.0,3.389,686,2
11.5,3.39,686,2
12.0,3.391,686,2
12.5,3.391,686,2
13.0,3.392,686,2
13.5,3.392,686,2
14.0,3.393,683,2
14.5,3.393,683,2
15.0,3.394,686,3
15.5,3.394,686,3
16.0,3.395,683,3
16.5,3.395,683,3
17.0,3.395,683,3
17.5,3.396,703,3
18.0,3.396,703,3
18.5,3.397,700,3
19.0,3.397,700,3
19.5,3.399,700,3
20.0,3.399,700,3
20.5,3.4,721,4
21.0,3.4,721,4
21.5,3.4,709,4
22.0,3.4,709,4
22.5,3.399,718,4
23.0,3.401,718,4
23.5,3.401,718,4
24.0,3.401,718,4
24.5,3.401,718,4
25.0,3.401,712,5
25.5,3.401,712,5
26.0,3.401,712,5
26.5,3.401,712,5
27.0,3.402,718,5
27.5,3.403,712,5
28.0,3.403,712,5
28.5,3.402,712,5
29.0,3.402,712,5
29.5,3.403,712,6
30.0,3.403,712,6
30.5,3.403,709,6
31.0,3.403,709,6
31.5,3.405,683,6
32.0,3.405,683,6
32.5,3.405,706,6
33.0,3.405,706,6
33.5,3.405,706,6
34.0,3.406,700,7
34.5,3.406,700,7
35.0,3.406,700,7
35.5,3.406,700,7
36.0,3.406,697,7
36.5,3.406,697,7
37.0,3.407,718,7
37.5,3.407,718,7
38.0,3.406,683,7
38.5,3.406,680,8
39.0,3.406,680,8
39.5,3.407,692,8
40.0,3.407,692,8
40.5,3.408,680,8
41.0,3.408,680,8
41.5,3.408,689,8
42.0,3.408,689,8
42.5,3.408,689,8
43.0,3.409,686,9
43.5,3.409,686,9
44.0,3.409,680,9
44.5,3.409,680,9
45.0,3.409,686,9
45.5,3.409,686,9
46.0,3.409,689,9
46.5,3.409,689,9
47.0,3.41,689,9
47.5,3.41,689,9
48.0,3.41,683,9
48.5,3.41,680,10
49.0,3.41,680,10
49.5,3.41,703,10
50.0,3.41,703,10
50.5,3.411,680,10
51.0,3.411,680,10
51.5,3.411,680,10
52.0,3.411,680,10
52.5,3.411,700,10
53.0,3.411,700,10
53.5,3.412,715,11
54.0,3.412,718,11
54.5,3.412,718,11
55.0,3.413,718,11
55.5,3.413,718,11
56.0,3.413,715,11
56.5,3.413,715,11
57.0,3.412,718,11
57.5,3.412,718,11
58.0,3.413,718,12
58.5,3.413,718,12
59.0,3.412,709,12
59.5,3.412,709,12
60.0,3.412,715,12
60.5,3.413,709,12
61.0,3.413,709,12
61.5,3.412,718,12
62.0,3.412,718,12
62.5,3.414,715,13
63.0,3.414,715,13
63.5,3.413,715,13
64.0,3.413,715,13
64.5,3.413,709,13
65.0,3.414,706,13
65.5,3.414,706,13
66.0,3.414,680,13
66.5,3.414,680,13
67.0,3.414,703,14
67.5,3.414,703,14
68.0,3.415,700,14
68.5,3.415,700,14
69.0,3.415,700,14
69.5,3.415,715,14
70.0,3.415,715,14
70.5,3.415,715,14
71.0,3.415,715,14
71.5,3.415,695,15
72.0,3.415,695,15
72.5,3.416,692,15
73.0,3.416,692,15
73.5,3.415,692,15
74.0,3.415,692,15
74.5,3.416,692,15
75.0,3.416,689,15
75.5,3.416,689,15
76.0,3.416,680,16
76.5,3.416,680,16
77.0,3.416,680,16
77.5,3.416,680,16
78.0,3.416,680,16
78.5,3.416,686,16
79.0,3.416,686,16
79.5,3.416,686,16
80.0,3.416,686,16
80.5,3.416,709,17
81.0,3.416,709,17
81.5,3.417,677,17
82.0,3.417,677,17
82.5,3.417,680,17
83.0,3.417,680,17
83.5,3.417,680,17
84.0,3.417,680,17
84.5,3.417,680,17
85.0,3.418,680,17
85.5,3.418,680,17
