SN,Volatge,Current,mAH
0,0.0,21,82
0.5,0.0,21,82
1.0,0.0,21,82
1.5,0.0,21,82
2.0,0.0,21,82
2.5,0.0,21,82
3.0,0.0,21,82
3.5,0.0,21,82
4.0,0.0,21,82
4.5,0.0,21,82
5.0,0.0,21,82
5.5,0.0,21,82
6.0,0.0,21,82
6.5,0.0,21,82
7.0,0.0,21,82
7.5,0.0,21,82
8.0,0.0,21,82
8.5,0.0,21,82
9.0,0.0,21,82
9.5,0.0,21,82
10.0,0.0,21,82
10.5,0.0,21,82
11.0,0.0,21,82
11.5,0.0,21,82
12.0,0.0,21,82
12.5,0.0,21,82
13.0,0.0,21,82
13.5,0.0,21,82
14.0,0.0,21,82
14.5,0.0,21,82
15.0,0.0,21,82
15.5,0.0,21,82
16.0,0.0,21,82
16.5,0.0,21,82
17.0,0.0,21,82
17.5,0.0,21,82
18.0,0.0,21,82
18.5,0.0,21,82
19.0,0.0,21,82
19.5,0.0,21,82
20.0,0.0,21,82
20.5,0.0,21,82
21.0,0.0,21,82
21.5,0.0,21,82
22.0,0.0,21,82
22.5,0.0,21,82
23.0,0.0,21,82
23.5,0.0,21,82
24.0,0.0,21,82
24.5,0.0,21,82
25.0,0.0,21,82
25.5,0.0,21,82
26.0,0.0,21,82
26.5,0.0,21,82
27.0,0.0,21,82
27.5,0.0,21,82
28.0,0.0,21,82
28.5,0.0,21,82
29.0,0.0,21,82
29.5,0.0,21,82
30.0,0.0,21,82
30.5,0.0,21,82
31.0,0.0,21,82
31.5,0.0,21,82
32.0,0.0,21,82
32.5,0.0,21,82
33.0,0.0,21,82
33.5,0.0,21,82
34.0,0.0,21,82
34.5,0.0,21,82
35.0,0.0,21,82
35.5,0.0,21,82
36.0,0.0,21,82
36.5,0.0,21,82
37.0,0.0,21,82
37.5,0.0,21,82
38.0,0.0,21,82
38.5,0.0,21,82
39.0,0.0,21,82
39.5,0.0,21,82
40.0,0.0,21,82
40.5,0.0,21,82
41.0,0.0,21,82
41.5,0.0,21,82
42.0,0.0,21,82
42.5,0.0,21,82
43.0,0.0,21,82
43.5,0.0,21,82
44.0,0.0,21,82
44.5,0.0,21,82
45.0,0.0,21,82
45.5,0.0,21,82
46.0,0.0,21,82
46.5,0.0,21,82
47.0,0.0,21,82
47.5,0.0,21,82
48.0,0.0,21,82
48.5,0.0,21,82
49.0,0.0,21,82
49.5,0.0,21,82
50.0,0.0,21,82
50.5,0.0,21,82
51.0,0.0,21,82
51.5,0.0,21,82
52.0,0.0,21,82
52.5,0.0,21,82
53.0,0.0,21,82
53.5,0.0,21,82
54.0,0.0,21,82
54.5,0.0,21,82
55.0,0.0,21,82
55.5,0.0,21,82
56.0,0.0,21,82
56.5,0.0,0,0
57.0,0.007,0,1
57.5,0.092,0,1
58.0,0.17,0,2
58.5,0.26,0,2
59.0,0.482,0,3
59.5,0.62,0,3
60.0,0.699,0,4
60.5,0.7,0,4
61.0,0.701,0,5
61.5,0.697,0,6
62.0,0.701,0,6
62.5,0.698,0,7
63.0,0.701,0,7
63.5,0.701,1,8
64.0,0.705,1,8
64.5,0.696,1,9
65.0,0.699,1,9
65.5,0.697,1,10
66.0,0.703,1,11
66.5,0.699,1,11
67.0,0.699,1,12
67.5,0.698,1,12
68.0,0.698,2,13
68.5,0.702,2,13
69.0,0.702,2,14
69.5,0.699,2,14
70.0,0.702,2,15
70.5,0.703,2,16
71.0,0.7,2,16
71.5,0.698,2,17
72.0,0.7,2,17
72.5,0.699,3,18
73.0,0.705,3,18
73.5,0.703,3,19
74.0,0.702,3,19
74.5,0.697,3,20
75.0,0.706,3,20
75.5,0.704,3,21
76.0,0.695,3,22
76.5,0.702,3,22
77.0,0.698,4,23
77.5,0.699,4,23
78.0,0.702,4,24
78.5,0.702,4,24
79.0,0.698,4,25
79.5,0.701,4,25
80.0,0.698,4,26
80.5,0.701,4,27
81.0,0.7,4,27
81.5,0.702,5,28
82.0,0.7,5,28
82.5,0.699,5,29
83.0,0.701,5,29
83.5,0.702,5,30
84.0,0.197,5,30
84.5,0.0,5,30
85.0,0.0,5,30
85.5,0.0,5,30
86.0,0.0,5,30
86.5,0.0,5,30
87.0,0.0,5,30
87.5,0.0,5,30
88.0,0.0,5,30
88.5,0.0,5,30
89.0,0.0,5,30
89.5,0.0,5,30
90.0,0.0,5,30
